德国	de2guo2	германия
经济	ji1ngji4	экономика
日本	ri4be3n	япония
医生	yi1she1ng	врач
法律	fa3lv4	закон
巴西	ba1xi1	бразилия
中医	zho1ngyi1	кит. медицина
同学	to2ngxue2	одногруппник
美国	me3iguo3	сша
韩国	han2guo3	юж. корея
加拿大	jia1na2da4	канада
意大利	yi4da4li4	италия
老板	la3oban1	босс
店员	dia3nyua2n	продавец
演员	yan3yua2n 	актер
秘书	mi2shu1	секретарь
司机	si1ji1	водитель
律师	lv4shi1	юрист
技工	ji4gong1	механик
运动员	yun4dong4yua2n	атлет
厨师	chu2shi1	повар
工人	go1ngre2n	рабочий
服务员	fu2wu4yua2n	официант
高兴	gao1xi4ng	счастливый
关系	gua1nxi4	отношения
手机	sho3uji1	мобильный телефон
号码	ha4oma3	номер телефона
当	da1ng	быть кем-то
父母	fu4mu3	родители
那里	na4li	там
莫斯科	mo4si1ke1	Москва

